Title	Description	Links	Month	Context	Affiliation	Status	Material	Format	File extension	Size	Tools	Language	Location	Collaborators	Themes	Portfolio
Bluebirds	A Twitter interface/visualisation based on Daniel Shiffman's flocking algorithm. Exhibited at Processing Community Day LA 2020.	https://github.com/whykatherine/Bluebirds https://www.instagram.com/p/B9H7Iodhygz/	05 2019	Academic	University of Southern California	Concluded	code	software	.pde		Processing	English	Los Angeles, California, USA		digital culture	x
Fine Art Asia	Camera-based interactive brand installation for Fine Art Asia.	https://github.com/whykatherine/FAAInteractiveBrand https://vimeo.com/364002596 https://vimeo.com/364004221	08 2019	Professional	Superunion	Concluded	code	software, video	.pde		Processing	English	Hong Kong	various	Chinese culture, visual art	x
Wikipedia Narratives	A Wikipedia-based narrative tool.	https://wikipedia-narratives.herokuapp.com/	12 2019	Academic	University of Southern California	Concluded	code	website	.html	80.10 KB	HTML/CSS/JS	English	Los Angeles, California, USA		digital culture, play, electronic literature	x
A Global Language	Interactive visualisation tool exploring the etymological history of the English language.	https://agloballanguage.herokuapp.com/	03 2020	Academic	University of Southern California	To be revisited	code	website	.html	94.66 KB	HTML/CSS/JS	English	Hong Kong; Los Angeles, California, USA		language, geography	x
It All Started with the Simpsons	A computational remix video essay that journeys through references in animated shows.	https://youtu.be/tzhH_btkHa0	05 2020	Academic	University of Southern California	Concluded	code	video, software	.mp4, .py		Python, Adobe After Effects, Adobe Premiere Pro	English	Hong Kong		fandom, media, digital culture	x
takes no arguments	Just as the program takes no functional arguments, so does your interlocutor take no apology or explanation. An experiment in command line narratives.	https://github.com/whykatherine/takesnoarguments https://www.instagram.com/p/B_oduJWJ9-m/ https://backslashlit.com/issues/2/katherine-yang-canwetalk	05 2020	Personal	University of Southern California	Concluded	code	software, video	.py, .mp4	5.8 MB	Python	English	Hong Kong		poetic tech, emotions	x
what i feel is	One-syllable emotions, felt in waves turbulent, uneven, overlapping, and without end.	https://whykatherine.github.io/what-i-feel-is/ https://www.instagram.com/p/CCOfaByhvVm/	07 2020	Personal	University of Southern California	Concluded	code	website	.html	454.6 KB	HTML/CSS/JS	English	Hong Kong		emotions, poetic tech	x
Waking and Sleeping	“Good morning” and “good night” tweets, mapped in real-time.	https://wakingandsleeping.glitch.me/ https://twitter.com/bookwormgirl910/status/1312820041268690945 https://console.substack.com/p/console-23	10 2020	Personal	University of Southern California	Concluded	code	website	.html	794.57 KB	HTML/CSS/JS	English	Hong Kong		emotions, geography	x
Language of Place	Interactive exploration of multilingual place names in Hong Kong.	https://www.youtube.com/watch?v=9-4H2PuZlsU	10 2020	Community	University of Southern California	Concluded	code	website, video	.html, .mp4		HTML/CSS/JS, p5.js	English	Hong Kong	Ambika Joshi	language, Chinese culture, geography	x
Stream of Consciousness	A tool that sends your thoughts down a stream of consciousness.	https://whykatherine.github.io/stream/ https://www.instagram.com/p/CIylnuZhhxO/	12 2020	Personal	University of Southern California	Concluded	code	website	.html	19.35 MB	HTML/CSS/JS	English	Hong Kong	Cameron Roper	handmade web, emotions	x
